,text,y_true,y_pred,prompt,answer
22,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We are planning to reaccelerate or accelerate hiring in 2020 and that's really going to be focused on the important priorities of the Company.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We are planning to reaccelerate or accelerate hiring in 2020 and that's really going to be focused on the important priorities of the Company.] = Claim""}]",Claim
23,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [This is a healthy state.] =",0,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [This is a healthy state.] = Claim'}]",Claim
24,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [DefShop is an e-commerce fashion brand in Germany.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [DefShop is an e-commerce fashion brand in Germany.] = Prem'}]",Prem
25,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [But again, I don't view that as negative performance.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [But again, I don't view that as negative performance.] = Claim""}]",Claim
26,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [So, that's part of what you're seeing.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [So, that's part of what you're seeing.] = Claim""}]",Claim
27,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And, we're going to work with the news publishers to make this very valuable and I'm optimistic that we can get there.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And, we're going to work with the news publishers to make this very valuable and I'm optimistic that we can get there.] = Claim""}]",Claim
28,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [So before the game, they targeted their 30-second Super Bowl ad that featured Drake to people with NFL and celebrity interests.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [So before the game, they targeted their 30-second Super Bowl ad that featured Drake to people with NFL and celebrity interests.] = Prem'}]",Prem
29,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And so you should take from our filing that we viewed it as we didn't see another way forward.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And so you should take from our filing that we viewed it as we didn't see another way forward.] = Claim""}]",Claim
30,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And again, we have a lot of experience at this.] =",1,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And again, we have a lot of experience at this.] = Claim'}]",Claim
31,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [But the important thing to keep in mind on this is we don't really ?€? we don't need to do pre-roll] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [But the important thing to keep in mind on this is we don't really ?€? we don't need to do pre-roll] = Claim""}]",Claim
32,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We have many other Services businesses that are doing very well.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We have many other Services businesses that are doing very well.] = Prem'}]",Prem
33,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [I also really like what I've seen with the iPhone SE and the fact that it's opening the door to customers that we weren't reaching before and likely convincing some people to upgrade that wanted a smaller form factor but wanted to stay with iPhone, and so they were waiting for the iPhone SE.] =",0,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [I also really like what I've seen with the iPhone SE and the fact that it's opening the door to customers that we weren't reaching before and likely convincing some people to upgrade that wanted a smaller form factor but wanted to stay with iPhone, and so they were waiting for the iPhone SE.] = Prem""}]",Prem
34,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [They used a very broad video to drive brand awareness.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [They used a very broad video to drive brand awareness.] = Prem'}]",Prem
35,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [They may be one year leases that could actually help the upgrade rate.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [They may be one year leases that could actually help the upgrade rate.] = Prem'}]",Prem
36,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [There might be some sort of a new normal in the economy, but a new normal there is still a good growth rate.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [There might be some sort of a new normal in the economy, but a new normal there is still a good growth rate.] = Prem'}]",Prem
37,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And then in terms of does that have any meaningful contribution from areas of innovation, we talked about some of the areas that we're investing in.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And then in terms of does that have any meaningful contribution from areas of innovation, we talked about some of the areas that we're investing in.] = Claim""}]",Claim
38,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [A modern infrastructure has to both be secure at its very core, and that can result, as you're seeing through that confluence of events, in a very strong PC market with very strong Pro performance] =",0,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [A modern infrastructure has to both be secure at its very core, and that can result, as you're seeing through that confluence of events, in a very strong PC market with very strong Pro performance] = Prem""}]",Prem
39,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And obviously the kind of numbers that we have indicated growth in the revenue means that iPhone would have another stellar quarter.] =",1,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And obviously the kind of numbers that we have indicated growth in the revenue means that iPhone would have another stellar quarter.] = Prem'}]",Prem
40,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And so that?€?s what I think Amy?€?s comments also reflected and that?€?s what we expect to have happen in the rest of this fiscal year.] =",1,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And so that?€?s what I think Amy?€?s comments also reflected and that?€?s what we expect to have happen in the rest of this fiscal year.] = Claim'}]",Claim
41,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [So the product directive that I've given to all of our teams is to shift from focusing on showing the most meaningful content to people to instead to now encouraging the most meaningful social interaction.] =",0,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [So the product directive that I've given to all of our teams is to shift from focusing on showing the most meaningful content to people to instead to now encouraging the most meaningful social interaction.] = Claim""}]",Claim
42,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And you may have seen that at the beginning of the quarter, sometime in April I believe, we announced a fund, an Advanced Manufacturing Fund, that we're initially placing $1 billion in.] =",0,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And you may have seen that at the beginning of the quarter, sometime in April I believe, we announced a fund, an Advanced Manufacturing Fund, that we're initially placing $1 billion in.] = Prem""}]",Prem
43,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [When you seeing capable of running flow to create intelligence, that is what we are using impact from our speech and vision work.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [When you seeing capable of running flow to create intelligence, that is what we are using impact from our speech and vision work.] = Prem'}]",Prem
44,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [and so this is the year where we've got our peak requirements in terms of capital.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [and so this is the year where we've got our peak requirements in terms of capital.] = Claim""}]",Claim
45,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [EGM in North America grew 32%, which was higher than the revenue growth rate, and also grew 36% internationally.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [EGM in North America grew 32%, which was higher than the revenue growth rate, and also grew 36% internationally.] = Prem'}]",Prem
46,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We then recently came out with ARKit 2.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We then recently came out with ARKit 2.] = Prem'}]",Prem
47,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And what we're seeing is accelerating enterprise deployment of Windows 10.] =",1,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And what we're seeing is accelerating enterprise deployment of Windows 10.] = Prem""}]",Prem
48,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And then in terms of local communities, one of the big trends in the world that we've seen is just that participation in all kinds of different physical communities, whether they're sports teams or some religious groups or different kinds of different things, have been declining a lot over the past several decades.] =",0,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And then in terms of local communities, one of the big trends in the world that we've seen is just that participation in all kinds of different physical communities, whether they're sports teams or some religious groups or different kinds of different things, have been declining a lot over the past several decades.] = Prem""}]",Prem
49,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [In fact, in some ways, it actually includes an acceleration in certain areas.] =",1,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [In fact, in some ways, it actually includes an acceleration in certain areas.] = Claim'}]",Claim
50,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [The kind of things we?€?re able to do with targeting and measurement apply across industries and obviously have to be industry and vertical specific and we?€?re working hard at that.] =",1,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [The kind of things we?€?re able to do with targeting and measurement apply across industries and obviously have to be industry and vertical specific and we?€?re working hard at that.] = Claim'}]",Claim
51,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [Tens of thousands of developers are building new skills for Alexa.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [Tens of thousands of developers are building new skills for Alexa.] = Prem'}]",Prem
52,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [That 2-point year-over-year increase in the commercial cloud gross margin really, even with the massive growth in Azure over the course of the year, certainly implies the improvement that we expected.] =",1,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [That 2-point year-over-year increase in the commercial cloud gross margin really, even with the massive growth in Azure over the course of the year, certainly implies the improvement that we expected.] = Prem'}]",Prem
53,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [It continues to drive better conversion of free trials, higher membership renewal rates for existing subscribers and higher overall engagement.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [It continues to drive better conversion of free trials, higher membership renewal rates for existing subscribers and higher overall engagement.] = Prem'}]",Prem
54,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [On the switcher side, we really like what we're seeing.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [On the switcher side, we really like what we're seeing.] = Claim""}]",Claim
55,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [I think about it as an encouragement that they want to fill the channel as quickly as they can over the coming quarters with new machines.] =",1,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [I think about it as an encouragement that they want to fill the channel as quickly as they can over the coming quarters with new machines.] = Prem'}]",Prem
56,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We are entering into a period where that's going to increasingly be primarily video, and we're seeing huge growth there.] =",0,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We are entering into a period where that's going to increasingly be primarily video, and we're seeing huge growth there.] = Claim""}]",Claim
57,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We think that our Services business will continue to grow well.] =",1,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We think that our Services business will continue to grow well.] = Claim'}]",Claim
58,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [The quarter that, or the four week period that you see running through the Amazon P&L this quarter is pretty hard to draw conclusions on other than revenue at this point.] =",0,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [The quarter that, or the four week period that you see running through the Amazon P&L this quarter is pretty hard to draw conclusions on other than revenue at this point.] = Claim'}]",Claim
59,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [The basic story that we've seen within the Facebook app is, over the last few years, the amount of time that people were spending in the app was increasing primarily because people were consuming more public content, like passive video consumption and news.] =",0,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [The basic story that we've seen within the Facebook app is, over the last few years, the amount of time that people were spending in the app was increasing primarily because people were consuming more public content, like passive video consumption and news.] = Prem""}]",Prem
60,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And we've exited the quarter also on iPad and Mac well within the ranges that we want to have.] =",0,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And we've exited the quarter also on iPad and Mac well within the ranges that we want to have.] = Claim""}]",Claim
61,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We think there's ?€? continue to be great opportunities to do that, and how the supply-demand dynamics play out will kind of impact the overall direction of price.] =",0,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We think there's ?€? continue to be great opportunities to do that, and how the supply-demand dynamics play out will kind of impact the overall direction of price.] = Claim""}]",Claim
62,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [One are to the capture and sharing tools that we offer.] =",0,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [One are to the capture and sharing tools that we offer.] = Prem'}]",Prem
63,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [So E3, E5, and higher penetration of this is what's going to drive ASP growth.] =",0,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [So E3, E5, and higher penetration of this is what's going to drive ASP growth.] = Claim""}]",Claim
64,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [Of the usage on the platform, we do think that that is the most valuable usage, but that's why we're going in that direction.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [Of the usage on the platform, we do think that that is the most valuable usage, but that's why we're going in that direction.] = Claim""}]",Claim
65,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [And through Q4 [ph] we did everything we could to have the best prices available for customers and in stock in time for the holiday.] =",1,0,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [And through Q4 [ph] we did everything we could to have the best prices available for customers and in stock in time for the holiday.] = Prem'}]",Prem
66,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [We would be 800 basis points higher this quarter from the 33% that we've reported if it wasn't for the movement in currencies around the world.] =",0,0,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [We would be 800 basis points higher this quarter from the 33% that we've reported if it wasn't for the movement in currencies around the world.] = Prem""}]",Prem
67,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [But as we can help people reduce friction and close that loop, we think that's a good opportunity for people and for our business.] =",1,1,"[{'generated_text': ""This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [But as we can help people reduce friction and close that loop, we think that's a good opportunity for people and for our business.] = Claim""}]",Claim
68,"This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.
            
            [So it is true that the deals are much broader, deeper.] =",1,1,"[{'generated_text': 'This sentense is either premise or claim, which category does it belong to? Be determine and concise about the output. The answer is either premise or claim.\n            \n            [So it is true that the deals are much broader, deeper.] = Claim'}]",Claim
